TIPOLOGIA_STRUTTURA;ASP;DENOMINAZIONE_STRUTTURA;INDIRIZZO_SEDE_OPERATIVA;CITTA';SOGGETTO_GESTORE;INDIRIZZO_SEDE_LEGALE;NUMERO_TELEFONO;PEC;PROVVEDIMENTO_DI_ACCREDITAMENTO
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Istutito Radiologico Cassone Costantino S.r.l.;Viale Boccioni, 14;Reggio Calabria;Istutito Radiologico Cassone Costantino S.r.l.;Viale Boccioni, 14 Reggio Calabria;0965 898879;radiologiacassone@pec.it;D.P.G.R. N. 1/2011 DCA n. 122 del 24/05/2018
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Centro Risonanza Magnetica C.R.M. S.r.l.;Via S.S. 18 Pentimele, 105;Reggio Calabria;Centro Risonanza Magnetica s.r.l.;Via S.S. 18 Pentimele, 105 Reggio Calabria;0965 650065;crmrc@pec.it;D.P.G.R. N. 1/2011 Nota prot. n. 216642 del 10/07/2015
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Fisiosanisport Reggio Calabria s.r.l.;Via Aschenez, Prol. 15/c;Reggio Calabria;Fisiosanisport Reggio Calabria s.r.l.;Via Aschenez, Prol. 15/c Reggio Calabria;0965 890048;fss.reggiocalabria@pec.it                up.giomirc@pec.it;D.P.G.R. N. 1/2011 Nota prot. n. 198583 del 23/05/2019
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;"Centro di Cure Fisiche ""Guarire di Daniela Filangeri & C. & s.a.s.""";Via Quarnaro I°, 19;Gallico,                                   Reggio Calabria;"Centro di Cure Fisiche ""Guarire di Daniela Filangeri & C. & s.a.s.""";Via Quarnaro I°, 19 Gallico, Reggio Calabria;0965 373492;centroguarire@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Fisiokinesiterapia Bagnarese s.r.l.;Via C. Cantù;Bagnara Calabra;Fisiokinesiterapia Bagnarese s.r.l.;Via C. Cantù Bagnara Calabra (RC);0966 371075;postmaster@pec.fisiokinesiterapiabagnarese.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Centro Medico di Fiokinesiterapia Dr. P. Crupi s.r.l.;Via D. Muratori, 3;Reggio Calabria;Centro Medico di Fiokinesiterapia Dr. P. Crupi s.r.l.;Via D. Muratori, 3 Reggio Calabria;0965 892421;centromedicocrupi@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;T.A. s.r.l. Terapia Ambulatoriale ;Via Giulia, 2;Reggio Calabria;T.A. s.r.l. Terapia Ambulatoriale ;Via Giulia, 2 Reggio Calabria;0965 890503;tasrl@pecprofessionale.net;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;FISIOCAM s.r.l.;Via De Nava, 43;Reggio Calabria ;FISIOCAM s.r.l.;Via De Nava, 43 Reggio Calabria;0965 26716;fisiocam@pec.it;D.P.G.R. N. 1/2011 Nota prot. n. 261089 26/07/2012
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Centro FKT del Dr. Mario Smorto  S.r.l.;Via Nazionale Pentimele, 198;Reggio Calabria;Centro FKT del Dr. Mario Smorto  S.r.l.;Via Nazionale Pentimele, 198 Reggio Calabria;0965 44580;dr.mariosmortosrl@arubapec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;F.K.T.  Fisiokinesiterapia del Dr. Bruno Saraceno & C. s.r.l.;Via Nazionale, 77-79;Archi, Reggio Calabria;FKT S.r.l.;Via Nazionale, 79 Archi, Reggio Calabria;0965 44190;istitutofktsrl@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Centro di Fisiokinesiterapia CE.FI.K s.r.l.;Via R. La Russa, 73;Villa S. Giovanni;Centro di Fisiokinesiterapia CE.FI.K s.r.l.;Via R. La Russa, 73 Villa S. Giovanni (RC);0965 756661-794949;centrocefiksrl@pec.it;"D.P.G.R. N. 137/2013
"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Istituto di Terapia Fisica e Riabilitazione di Aloisio & C s.a.s.;Via B. Buozzi, 8                               ;Reggio Calabria;Istituto di Terapia Fisica e Riabilitazione di Aloisio & C s.a.s.;Via B. Buozzi, 8 Reggio Calabria;0965 895514;istituto.aloisio@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Centro Diagnostico s.r.l.;Via Vita, 4;Reggio Calabria;Centro Diagnostico s.r.l.;Via Vita, 4 Reggio Calabria;0965 55535;centrodiagnosticoscordino@pec.buffetti.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Studio Odontoiatrico Dr. Carlo Annunziata  ;Via Monsignor De Lorenzo, 70 ;Reggio Calabria ;Studio Odontoiatrico Dr. Carlo Annunziata  ;Via Monsignor De Lorenzo, 70 Reggio Calabria;0965 21729;cannunziata@peccenacolo.com;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;TEO S.r.l.;Via P. Pellicano, 14;Reggio Calabria;TEO S.r.l.;Via P. Pellicano, 14 Reggio Calabria;0965 24746;teodorovadala@pec.andi.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Studio Dentistico Tortorella S.r.l. S.T.P.;Via S. Francesco da Paola, 53/A;Reggio Calabria;Studio Dentistico Tortorella S.r.l. S.T.P.;Via S. Francesco da Paola, 53/A Reggio Calabria;0965 331386;ifostudiodentisticotortorella@pec.it;"D.P.G.R. N. 1/2011 
DCA N. 102 del 27/06/2019"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Studio Polispecialistico Dr. A. Postorino & C. s.a.s.;Via Amerigo, Vespucci 11/A;Reggio Calabria;Studio Polispecialistico Dr. A. Postorino & C. s.a.s.;Via Amerigo Vespucci, 11/A Reggio Calabria;0965 896063;smp_dr.postorino@pec.it;"D.P.G.R. N. 1/2011 
D.P.G.R. N. 180/2012
"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Policlinico di Monza Casa di Cura S.p.a.            (ex Alpigi di V. Galasso);Via Italia, 24;Reggio Calabria;Policlinico di Monza Casa di Cura S.p.a.    ;Via Passalacqua, 10 Novara;0965 654641;direzione.generale@policlinicodimonza.legalmail.it;D.P.G.R. N. 1/2011 DCA n.127 del 01/12/2016
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;F.C.F. Centro Dermo di Cristofaro Postorino & C. s.a.s.;Via Tenente Panella, 13 ;Reggio Calabria ;F.C.F. Centro Dermo di Cristofaro Postorino & C. s.a.s.;Via Tenente Panella, 13 Reggio Calabria;0965 21953;fcfpec@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Studio Oculistico Rechichi s.r.l.;Via Reggio Campi I° Tronco, 11/D;Reggio Calabria ;Studio Oculistico Rechichi s.r.l.;Via Reggio Campi I° Tronco, 11/D Reggio Calabria;0965 891214;caterinarechichi@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Laboratorio di patologia clinica Delta di Maria Morabito s.n.c.;Via Micene, 16/b  ;Reggio Calabria;Laboratorio di patologia clinica Delta di Maria Morabito s.n.c.;Via Micene, 16/b Reggio Calabria;0965 1891096;delta-radiologiaediagnosticaperimmagini@pec.it;"Decreto n. 8414 del 28/07/2017 del Commissario ad acta nominato con Sentenza T.A.R. Calabria 
DCA N. 158 del 14/06/2023"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Istituto Diagnostico Prof. Demetrio Meduri s.r.l. ;Corso Garibaldi, 563;Reggio Calabria ;Istituto Diagnostico Prof. Demetrio Meduri s.r.l. ;Corso Garibaldi, 563 Reggio Calabria;0965 813399;istitutodiagnostico@pec.it;D.P.G.R. N. 1/2011 Nota prot. N. 27217 24/11/2010
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Istituto Diagnostico Medico GMM s.r.l.;Via Riviera, 4;Villa S. Giovanni;Istituto Diagnostico Medico GMM s.r.l.;Via Riviera, 4 Villa S. Giovanni (RC);0965 751075;istitutodiagnosticogmm@legalmail.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;RC;Laboratorio Analisi Cliniche SIMEF s.r.l.;Via N. da Recco, 4;Reggio Calabria;Laboratorio Analisi Cliniche SIMEF s.r.l.;Via N. da Recco, 4 Reggio Calabria;0965 891184 ;simef@pec.it;"D.P.G.R. N. 1/2011
Attività Sospesa"
STABILIMENTO TERMALE;RC;Terme di Galatro Srl;Viale delle Terme,1 ;Galatro;Terme di Galatro Srl;Viale delle Terme,1 Galatro (RC);0966 903775;termedigalatrosrl@pec.it;"D.P.G.R. N. 1/2011 - Nota prot. n. 215918 DEL 29/06/2017
DG N. 8702 del 25/07/2022"
STABILIMENTO TERMALE;RC;Consorzio Termale Antonimina-Locri;Via Bagni;Antonimina;Consorzio Termale Antonimina-Locri;Via Bagni Antonimina (RC);0964 312040;terme.antoniminalocri@asmepec.it;"D.P.G.R. N. 1/2011 DCA 156/2018 DCA 114/2014 
Nota prot. 410789 del 04/12/1989"
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;CS;Centro Polivalente di Riabilitazione A.I.A.S. sez. Cetraro ONLUS;Via D. Savio;Diamante;AIAS - Associazione Italiana Assistenza Spastici;Via Lungo Aron, 10 Cetraro (CS);0985 81638;aiascetraro@quattrosrlpec.it;D.P.G.R. N. 1/2011
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;CS;Villa Adelchi;Contrada Frailliti;Longobardi;Riace Srl;Via Panebianco, 293 Cosenza;0982 78067;riacesrl@legpec.it;D.P.G.R. N. 1/2011
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;CS;S. Chiara;Viale Dei Giardini;Paola;Santachiara Srl;Viale Dei Giardini, 70 Paola (CS);0982 610225;clinica.santachiara@pec.it;D.P.G.R. N. 1/2011
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;CS;Don Milani;Loc. Carmine;Lungro;AIE Srl;Via Dei Conti Ruffo, 15 Catanzaro;0981 947480;aie@pec.it;D.P.G.R. N. 1/2011
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;CS;Riabil Center s.r.l.;Via delle Vigne snc;Castrovillari;Riabil Center s.r.l.;Via delle Vigne, 1 Castrovillari (CS);0981 27396;riabilcentercastrovillari@pec.it;"D.P.G.R. N. 1/2011 DCA N. 24 del 22/04/2015 
DCA N.132 del 04/11/2021
DCA 169 del 30/11/2022"
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;CS;ANMI SISS s.r.l.;Viale Sant'Angelo Loc. Crosetto;Corigliano-Rossano;ANMI SISS s.r.l.;Via Monte S. Michele, 13 Cosenza;0983 293019;anmisiss@pec.it;D.P.G.R. N. 1/2011 Provvedimento n. 298 01/03/2012 DCA n. 42 del 30/01/2020
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;CS;Terme Sibarite s.p.a.;Via Terme , 2;Cassano allo Jonio;Terme Sibarite s.p.a.;Via Terme, 2 Cassano allo Jonio (CS);0981 71376;termesibarite@legalmail.it;DCA N. 21 del 21/01/2023
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;CS;Fisiocenter s.r.l.;Contrada Petraro snc;Cariati;Fisiocenter s.r.l.;Contrada Petraro snc Cariati (CS);0983 91598;fisiocentermaduli@legalmail.it;D.P.G.R. N. 1/2011 DCA N.13 DEL 27/1/2016
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;CS;Centro di Riabilitazione A.I.A.S.;Via Nazionale, 51;Vadue di Carolei ;AIAS - Associazione Italiana Assistenza Spastici;Via Lungo Aron, 10 Cetraro (CS);0984 624021;aiascosenza@pec.it;D.P.G.R. N. 1/2011
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;CS;Clinic Service Center s.r.l.;Via Provinciale ;Piano Lago Mangone;Clinic Service Center s.r.l.;Via Provinciale Piano Lago, Mangone (CS);0984 969955;clinic@pec.it;D.P.G.R. N. 1/2011
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;CS;Villa Torano ;C.da Macchia Tavola;Torano Castello ;Medical Sport Center Srl;Via Dei Conti Ruffo, 15 Catanzaro;0984 506181;medicalsportcenter@pec.it;DCA N. 10 DEL 09/01/2023
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;CS;Costruire Il Domani Onlus;Via San Domenico, 20;Rogliano;Associazione Costruire Il Domani Onlus;Via Regina Elena, 72 Rogliano (CS);0984 452230;costruireildomanionlus@pec.it;D.P.G.R. N. 1/2011 DCA n. 23 del 28/01/2020
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;CS;Centro di Riabilitazione ANMIC;Via Panoramica, 340;San Giovanni in Fiore;Associazione Anmic Riabilitazione;Via Roma ang. S. Croce, 132 Crotone;0984 970912;anmiccdr@legalmail.it;D.P.G.R. N. 1/2011
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;CS;Centro di Riabilitazione San Lorenzo A/S s.r.l. ;Via Gelsomini, 9;S. Giovanni in Fiore;Centro di Riabilitazione San Lorenzo A/S s.r.l. ;Via Gelsomini, 9 San Giovanni in Fiore (CS);0984 970020;centrosanlorenzo@pec.it;"DCA N. 14 del 09/01/2023 
DCA N. 16 del 10/01/2023
"
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;CS;Santa Chiara s.r.l.;Via dei Cedri;S. Giovanni in Fiore;Santa Chiara s.r.l.;Via dei Cedri S. Giovanni in Fiore (CS);0984 975965;sachiara@pec.it;D.P.G.R. N. 1/2011 Note prot. n. 242442/2018 e prot. n. 256126/2018
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;CS;Biolife s.r.l.;Viale G. Mancini, 132;Cosenza;Biolife s.r.l.;Viale G. Mancini,128 Cosenza;0984 413466;centrobiolife@pec.it;"D.P.G.R. N. 1/2011 
DDG N. 10033 del 31/08/2022
DCA N. 131 DEL 17/10/2022"
ND;ND;ND;Viale G. Mancini, 128;ND;ND;ND;ND;ND;ND
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;CS;ANMI SISS s.r.l.;Via Molicella Vicinale, 7/13 - 7/15;Cosenza;ANMI SISS s.r.l.;Via Monte S. Michele, 13 Cosenza;0984 482790;anmisiss@pec.it;D.P.G.R. N. 1/2011 Provvedimento n. 297 01/03/2012
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;CS;iGreco ospedali Riuniti s.r.l.;Via Fra Benedetto, 33;Dipignano ;iGreco ospedali Riuniti s.r.l.;Piazza M. Quintieri, 1 Cosenza;0984 822311;igreco@pec.it;"D.P.G.R. N. 20 13/02/2014
DCA N. 89/2014 Nota prot. n. 159602 del 17/5/2016 - Nota prot. n. 288722/2018 - Nota prot n. 198603 del 23/05/2019"
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;CS;Villa S. Pio s.r.l. Unipersonale;Via Boschi;Marano Principato;Villa S. Pio s.r.l. Unipersonale;Via S. Francesco D'Assisi Dipignano (CS);0984 621635;crevillasanpio.villasanpiosrl@cert.ticertifica.it;D.P.G.R. N. 1/2011 DCA n. 22 del 31/01/2019 DCA n. 22 del 28/01/2020
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;KR;ANMIC RIABILITAZIONE;Via P. Impastato, 57;Crotone;ANMIC RIABILITAZIONE;Via P. Impastato, 57 Crotone;0962 28071;anmiccdr@legalmail.it;D.P.G.R. N. 1/2011 DCA 145/2018
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;KR;Villa San Giuseppe;Via S. Baffa, 246-250;Cotronei;SADEL di Salvatore BAFFA SpA;Via degli Scipioni, 252 Roma;0962 44108;sadel.spa@pec.it;"D.P.G.R. N. 1/2011 
Nota prot. N. 152189 del 14/05/2015 
DCA N. 249 DEL 07/12/2018
DCA n. 34 del 28.01.2020"
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;KR;Presidio di Riabilitazione Centro San Giuseppe;Via S. Baffa, 250;Cotronei;SADEL di Salvatore BAFFA SpA;Via degli Scipioni, 252 Roma;0962 492016;sadel.spa@pec.it;"D.P.G.R. N. 1/2011 
DCA N. 136 del 19/10/2017 Nota prot. N. 152189 del 14/05/2015 
DCA N. 250 DEL 07/12/2018
DCA n. 33 del 28.01.2020"
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;KR;Centro Fisiokinesiterapico Starbene S.r.l.;Largo Covelli, 4;Crotone;STARBENE s.r.l.;Largo Covelli, 4 Crotone;0962 26961;starbenekr@pec.it;"D.P.G.R. N. 1/2011 
DCA N.123 del 11/10/2022
DCA N. 177 del 05/12/2022"
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;KR;Life s.r.l.;Via Crotone, 154;Isola Capo Rizzuto;Life s.r.l.;Via della Repubblica, 10 Isola Capo Rizzuto (KR);0962 792510;lifesrl.icr@pec.it;"D.P.G.R. N. 1/2011 
DCA n.11 del 27/1/2016 
DCA n. 52 del 21/03/2019"
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;KR;Turano C. & C. s.r.l.;Via Tommaso Campanella, 52;Crotone;TURANO C. & C. s.r.l.;Via Tommaso Campanella, 52 Crotone;0962 27713;centroturano@lamiapec.it;D.P.G.R. N. 1/2011
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;CZ;Associazione Comunità Progetto Sud;Via Reillo;Lamezia Terme;Associazione Comunità Progetto Sud Onlus;Via Conforti, 61/A Lamezia Terme (CZ);0968 432594;progettosud@pec.it;"DCA N. 9 del 09/01/2023
DCA N. 65 del 21/02/2023
"
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;CZ;S. Domenico;Loc. Bastia;Lamezia Terme;G.A. 29 s.r.l.;Via D. Curcio, 2 Lamezia Terme (CZ);0968 27859;ga29srl@pec.it;D.P.G.R. N. 1/2011
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;CZ;San Vito Hospital;Loc. Mesa;S. Vito sullo Jonio ;Casa di Cura Giovanni Paolo II Srl;Via Dei Conti Ruffo, 15 Catanzaro;0961 904142;vivereinsieme@pec.it;D.P.G.R. N. 1/2011
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;CZ;Aquasalus Centro di Riabilitazione Estensiva;Via Frischia, 12;Sellia Marina ;Medicina Riabilitativa s.r.l.;Via Frischia, 139 Sellia Marina (CZ);0961 964071;medicinariabilitativa@pec.it;D.P.G.R. N. 1/2011
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;CZ;Fondazione Betania  ONLUS;Via Molise, 21;Catanzaro;Karol Betania Strutture Sanitarie S.r.l.;Via Molise, 21 Catanzaro;0961 763111;fondazionebetania@pec.it;"D.P.G.R. N. 1/2011 Nota prot. n. 68691 del 18/02/2019 
Nota prot. n. 408636 del 27/11/2019 
DCA N. 167 del 29/11/2022"
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;CZ;Centro Cilnico S. Vitaliano s.r.l.;Via T. Campanella;Catanzaro;Centro Cilnico S. Vitaliano s.r.l.;Via T. Campanella, 60 Catanzaro;0961 773834-0984 163695;centroclinicosanvitaliano@pec.it;"D.P.G.R. N. 1/2011 
DCA N.136 DEL 20/12/2016 DCA n. 153 del 26/11/2019"
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA DISTURBI COMPORTAMENTO ALIMENTARE;CZ;Centro Riabilitativo Lucrezia;Via Lucrezia della Valle;Catanzaro;Soc. San Vincenzo Srl;Via B. da Seminara, 26 Catanzaro;0961 367006;soc.sanvincenzo@pec.it;D.P.G.R. N. 1/2011 attività sospesa
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;VV;Casa della Carità ;Via Ruggero il Normanno,1;Vibo Valentia;Fondazione Casa della Carità;"Via Abate Sergio, 12
Tropea (VV)";0963 41070;fondazione@pec.casadellacarita.com;D.P.G.R. N. 1/2011
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;VV;Don Mottola Medical Center;Località Sant’Angelo;Drapia;Villa delle Rose Srl;"Via Roma, 270
Monterosso Calabro (VV)";0963 325241;villadellerosesrl@pec.it;DCA N. 50 del 09/02/2023
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;RC;Clinica Villa Vittoria s.r.l.;via cav. Ettore Ursino snc Antonimina (RC);Antonimina;Clinica Villa Vittoria s.r.l.;via cav. Ettore Ursino snc Antonimina (RC);0964 312371;mutua_benevolentia@pec.it;"D.P.G.R. N. 1/2011 
nota prot. n. 380958 del 20.11.2020 (presa d'atto trasformazione societaria)"
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;RC;Villa Salus s.p.a.;C.da Marinella                   Via Madre Teresa Di Calcutta, 1;Bruzzano Zeffirio;Villa Salus s.p.a.;C.da Marinella Via Madre Teresa Di Calcutta, 1 Bruzzano Zeffirio (RC);0964 934967;villasalus@legalmail.it;D.P.G.R. N. 1/2011
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;RC;Istituto di Cure Medical & Psycology         Coop. Soc. R.L.;Via Pugliano, 27;Bianco;Istituto di Cure Medical & Psycology         Coop. Soc. R.L.;Via C. Alvaro Bianco (RC);0964 992577;m_and_p@legalmail.it;D.P.G.R. N. 1/2011
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;RC;Associazione Piccola Opera Papa Giovanni Onlus;Via Garibaldi, 1;Bianco;Associazione Piccola Opera Papa Giovanni Onlus;Via Vallone Mariannazzo Reggio Calabria;0965 810013;piccolaopera@pec.it;"D.P.G.R. N. 139/2013
"
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;RC;Centro Ambulatoriale di Psicoterapia, Riabilitazione Logopedica e Psicomotoria SOPHIA s.r.l.;Via Carbone, 4;Palmi;Centro Ambulatoriale di Psicoterapia, Riabilitazione Logopedica e Psicomotoria SOPHIA s.r.l.;Via Carbone, 4 Palmi (RC);0966 46239;sophiasrl@mypec.eu;D.P.G.R. N. 1/2011
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;RC;Centro Emmanuele;Via Rocco Pugliese, 1;Palmi;Associazione di Volontariato Presenza;Via Rocco Pugliese, 1 Palmi (RC);0966 2674100;presenzaonluscalabria@pec.it;D.P.G.R. N. 1/2011
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;RC;Riabilia di Luigi Barillaro & C. S.r.l.;Trav. Di Via Francesco Sofia Alessio, n. 2;Taurianova;Riabilia di Luigi Barillaro & C. S.r.l.;Via Monte Grappa, 7 Taurianova (RC);0966 612095;riabilia@pec.it;"D.P.G.R. N. 1/2011 Nota prot. n. 36760 del 29/01/2020
DG N. 3182 del 24/03/2022"
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;RC;Centro di Rianilitazione Estensiva per Disabili Ambulatoriale ed a Ciclo Diurno;Piazza Orfanotrofio, 3;Oppido Mamertina;Ente Morale Fondazione Famiglia Germanò Onlus;Piazza Orfanotrofio, 3 Oppido Mamertina (RC);0966 86250;famigliagermano.onlus@pec.it;D.P.G.R. N. 1/2011
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;RC;Alfa s.a.s. di Riccardo Tigani;Via Scultore G. Renda, 16;Polistena;Alfa s.a.s. di Riccardo Tigani;Via Scultore G. Renda, 16 Polistena (RC);0966 932535;alfasaspolistena@pec.it;D.P.G.R. N. 1/2011
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;RC;Centro di Fisiokinesiterapia Bagnarese s.r.l.;Via Cesare Cantu';Bagnara Calabra;Centro di Fisiokinesiterapia Bagnarese s.r.l.;Via Cesare Cantu' Bagnara Calabra (RC);0966 372433;postmaster@pec.fisiokinesiterapiabagnarese.it;D.P.G.R. N. 1/2011
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;RC;Nova Salus;Loc. Cannitello ;Villa S. Giovanni;Anphora Coop. Soc. R.L.;Via N. Pentimele, 157 Reggio Calabria;0965 79899;anphoracooperativa@pec.it ;D.P.G.R. N. 1/2011 Nota prot. n. 54491/2018
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;RC;Associazione Piccola Opera Papa Giovanni - Centro di Riabilitazione Tripepi Mariotti;"Via Vallone Mariannazzo Stabile ""A""";Reggio Calabria;Associazione Piccola Opera Papa Giovanni Onlus;Via Vallone Mariannazzo Reggio Calabria;0965 890135;piccolaopera@pec.it;D.P.G.R. N. 1/2011
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;RC;Associazione Piccola Opera Papa Giovanni - Centro di Riabilitazione Carlo Pizzi;Via Vallone Mariannazzo;Reggio Calabria;Associazione Piccola Opera Papa Giovanni Onlus;Via Vallone Mariannazzo Reggio Calabria;0965 890768;piccolaopera@pec.it;DCA N. 15 del 09/01/2023
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;RC;Associazione Piccola Opera Papa Giovanni - Centro di Riabilitazione Nadia Vadalà;C.da Prunella ;Melito Porto Salvo;Associazione Piccola Opera Papa Giovanni Onlus;Via Vallone Mariannazzo Reggio Calabria;0965 788349;piccolaopera@pec.it;D.P.G.R. N. 1/2011
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;RC;Casa Serena S. Giovanni Bosco;Via Palamolla, 37;Reggio Calabria;Casa Serena S. Giovanni Bosco;Via Palamolla, 37 Reggio Calabria;0965 893541;cif_rc@pec.it;D.P.G.R. N. 1/2011
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;RC;Villa Betania S.r.l.;Via A. Garibaldi, 186 Gallico;Reggio Calabria;Villa Betania S.r.l.;Via A. Garibaldi, 186 Gallico Reggio Calabria;0965 370881;villabetania@pec.it;D.P.G.R. N. 1/2011 Nota prot. n. 248132 del 8/8/2016 Nota prot. n. 384789 del 14/11/2018
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;RC;Coop. Sociale Skinner s.r.l. Onlus ;Via Pio XI Dir. Gullì, 37;Reggio Calabria;Coop. Sociale Skinner s.r.l. Onlus ;Via Pio XI - Trav. De Blasio, 21 Reggio Calabria;0965 590813;cooperativasocialeskinner@registerpec.it;D.P.G.R. N. 1/2011
